Designator;Mid X;Mid Y;Rotation;Layer
C1;45.651000;-31.416000;90.000000;top
C2;47.612500;-31.416000;90.000000;top
C3;49.574000;-31.416000;90.000000;top
C4;51.535500;-31.416000;90.000000;top
C5;47.479000;-40.241000;-90.000000;top
C6;49.567000;-40.215000;-90.000000;top
C7;17.990000;-34.178000;180.000000;top
C8;17.990000;-32.229000;180.000000;top
C9;17.989000;-30.280000;180.000000;top
C10;17.989000;-28.331000;180.000000;top
C11;17.989000;-26.382000;180.000000;top
C12;17.989000;-24.433000;180.000000;top
C13;23.804000;-31.414000;-90.000000;top
C14;32.483000;-34.001000;0.000000;top
C15;37.813000;-33.929000;0.000000;top
C16;18.824000;-37.226000;-90.000000;top
C17;25.939000;-37.145000;90.000000;top
C18;41.203000;-47.001000;180.000000;top
C19;47.459000;-47.001000;0.000000;top
C20;35.403000;-33.345000;90.000000;top
C21;26.917000;-42.095000;-90.000000;top
C22;33.274200;-50.294000;-90.000000;top
C23;30.041000;-45.112000;-90.000000;top
C24;36.631400;-50.294000;-90.000000;top
C25;33.233200;-45.112000;-90.000000;top
C26;38.269000;-45.136000;-90.000000;top
C27;34.911800;-45.136000;-90.000000;top
C28;56.706000;-62.187000;90.000000;top
C29;49.352000;-76.298000;-90.000000;top
C30;50.205000;-63.014334;90.000000;top
C31;50.205000;-59.861000;-90.000000;top
C32;42.182000;-59.697000;-90.000000;top
C33;39.854000;-61.383000;0.000000;top
C34;20.878000;-67.791000;0.000000;top
C35;44.182750;-59.758000;90.000000;top
C36;48.204250;-59.789000;-90.000000;top
C37;20.843000;-71.008000;0.000000;top
C38;44.401000;-46.992000;0.000000;top
C39;51.522000;-40.267000;-90.000000;top
C40;20.161000;-52.813000;-90.000000;top
C41;13.875000;-52.780000;-90.000000;top
C42;47.067000;-25.108000;0.000000;top
C43;23.468000;-27.051000;180.000000;top
C113;18.244000;-9.614000;90.000000;top
C116;21.094000;-9.614000;-90.000000;top
C122;27.620000;-3.909000;0.000000;top
C125;35.186000;-14.639000;-90.000000;top
C130;33.348500;-14.639000;90.000000;top
C135;52.866000;-14.513000;0.000000;top
C139;52.931000;-18.640000;180.000000;top
D1;18.059000;-62.863000;0.000000;top
D2;26.855000;-72.584000;-90.000000;top
D3;19.331000;-48.577000;90.000000;top
D4;16.628000;-48.577000;90.000000;top
D5;56.836000;-18.387500;-90.000000;top
D6;18.493000;-18.052000;90.000000;top
D7;17.499000;-74.555000;90.000000;top
D8;15.850000;-18.090500;90.000000;top
D9;14.691000;-74.544500;90.000000;top
D10;58.797000;-18.413000;-90.000000;top
D28;37.183000;-6.299000;-90.000000;top
F1;59.881000;-30.980000;-90.000000;top
F2;59.881000;-37.995666;-90.000000;top
F3;59.881000;-45.011332;-90.000000;top
F4;59.881000;-52.027000;-90.000000;top
FB1;21.814000;-48.599500;-90.000000;top
FB2;14.145000;-48.599500;-90.000000;top
FB21;17.826000;-4.768000;-90.000000;top
FID1;77.467000;-12.536000;0.000000;top
FID2;77.711000;-70.005000;0.000000;top
FID3;2.549000;-69.273000;0.000000;top
FID4;11.921000;-3.134000;0.000000;top
G***;59.661000;-69.689000;0.000000;top
J3;73.942000;-23.436000;-90.000000;top
J4;73.942000;-35.556000;-90.000000;top
J5;73.942000;-47.676000;-90.000000;top
J6;73.942000;-59.796000;-90.000000;top
J8;8.799000;-25.288000;-90.000000;top
L1;35.186000;-26.082999;0.000000;top
L2;40.362000;-74.239000;180.000000;top
L6;49.075000;-6.589000;0.000000;top
Q1;27.463501;-32.267999;-90.000000;top
Q2;42.848000;-32.267999;-90.000000;top
Q3;42.783001;-39.367999;90.000000;top
Q4;42.948001;-26.082999;180.000000;top
Q5;27.363500;-26.082999;0.000000;top
Q6;31.286000;-62.614000;180.000000;top
Q7;53.202000;-23.665000;90.000000;top
R1;22.329000;-34.107000;0.000000;top
R2;44.539000;-44.071000;0.000000;top
R3;20.854000;-37.191000;-90.000000;top
R4;23.769000;-37.118000;90.000000;top
R5;43.110000;-49.375000;90.000000;top
R6;45.792000;-49.348000;-90.000000;top
R7;29.406000;-36.351000;0.000000;top
R8;28.582000;-42.095000;-90.000000;top
R9;30.082000;-50.294000;-90.000000;top
R10;25.325000;-42.095000;-90.000000;top
R11;31.595600;-50.294000;90.000000;top
R12;23.642000;-42.095000;90.000000;top
R13;31.554600;-45.112000;90.000000;top
R14;34.952800;-50.294000;-90.000000;top
R15;6.701000;-41.119000;180.000000;top
R16;38.310000;-50.294000;-90.000000;top
R17;36.590400;-45.136000;90.000000;top
R18;6.704000;-43.489000;180.000000;top
R19;6.701000;-45.761000;180.000000;top
R20;6.635000;-31.885000;180.000000;top
R21;6.639000;-36.604000;180.000000;top
R22;50.205000;-65.266000;90.000000;top
R23;37.134000;-59.015000;180.000000;top
R24;37.129000;-61.383000;180.000000;top
R25;37.747500;-64.315000;0.000000;top
R26;25.839000;-64.151000;90.000000;top
R27;25.839000;-60.896000;90.000000;top
R28;46.193500;-59.710000;90.000000;top
R29;6.636000;-38.993000;180.000000;top
R30;22.074000;-52.866000;-90.000000;top
R31;56.908000;-22.237500;90.000000;top
R32;18.493000;-14.569000;-90.000000;top
R33;17.482000;-70.543000;-90.000000;top
R34;15.824000;-14.791500;-90.000000;top
R35;14.663000;-70.647000;-90.000000;top
R36;58.818000;-22.286500;90.000000;top
R37;6.644000;-34.176000;180.000000;top
R106;21.361000;-14.511000;-90.000000;top
R107;23.869000;-14.615000;-90.000000;top
R111;26.254332;-14.521000;90.000000;top
R116;31.501000;-14.639000;-90.000000;top
R123;28.575000;-14.465000;90.000000;top
R124;28.570000;-17.354000;-90.000000;top
U1;35.186000;-38.689000;0.000000;top
U2;44.842000;-63.650000;180.000000;top
U3;17.018000;-53.817500;90.000000;top
U24;27.609000;-9.164000;0.000000;top