Designator;Comment;Mid X;Mid Y;Rotation;Layer
C1;1uF/6.3V;109.642821;-64.799872;-90.000000;top
C2;150uF/6.3V;105.734473;-66.165396;180.000000;top
C3;100nF/6.3V;112.181279;-32.937593;180.000000;top
C4;33pF/6.3V;112.181279;-34.537593;180.000000;top
C5;33pF/6.3V;112.181279;-38.017593;180.000000;top
C6;33pF/6.3V;112.181279;-36.727593;180.000000;top
C7;0.1uF;96.658895;-113.810057;-90.000000;top
C8;0.1uF;79.142417;-113.810057;-90.000000;top
C9;0.1uF;103.445051;-113.810057;-90.000000;top
C10;0.1uF;85.928573;-113.810057;-90.000000;top
C11;0.1uF;100.051971;-113.810057;90.000000;top
C12;0.1uF;82.535493;-113.810057;90.000000;top
C13;0.1uF;92.148127;-113.810057;-90.000000;top
C14;0.1uF;74.631649;-113.810057;-90.000000;top
C15;0.1uF;88.755051;-113.810057;-90.000000;top
C16;0.1uF;71.238573;-113.810057;-90.000000;top
C17;0.1uF;95.541203;-113.810057;90.000000;top
C18;0.1uF;78.024725;-113.810057;90.000000;top
C19;22nF/100V;116.352144;-134.901773;90.000000;top
C20;22nF/100V;98.689643;-134.388813;90.000000;top
C21;22nF/100V;82.692144;-134.388813;90.000000;top
C22;22nF/100V;64.982144;-134.901773;90.000000;top
C23;100nF;86.512804;-76.531773;0.000000;top
C24;10nF;78.081980;-71.685441;-90.000000;top
C25;1uF;77.011980;-71.685441;90.000000;top
C26;100nF;82.101980;-71.970350;90.000000;top
C27;4.7uF;72.248573;-82.031773;180.000000;top
C28;100nF;73.783573;-71.676773;90.000000;top
C29;100nF/6.3V;115.365780;-19.642593;180.000000;top
C30;33pF/6.3V;115.365780;-18.372593;180.000000;top
C31;33pF/6.3V;115.365780;-17.102593;180.000000;top
C32;33pF/6.3V;125.328702;-17.642593;0.000000;top
C33;100nF/50V;97.416173;-78.514273;0.000000;top
C34;100nF/100V;118.218573;-94.734273;180.000000;top
C35;100nF/100V;118.218573;-75.154273;0.000000;top
C36;22nF/100V;113.495716;-134.901773;90.000000;top
C37;22nF/100V;95.833215;-134.388813;90.000000;top
C38;22nF/100V;79.835716;-134.388813;90.000000;top
C39;22nF/100V;62.125716;-134.901773;90.000000;top
C40;100nF;89.163573;-76.996773;-90.000000;top
C41;10pF;79.861980;-62.751773;0.000000;top
C42;10pF;81.841980;-62.751773;180.000000;top
C43;20pF;82.738707;-67.671773;-90.000000;top
C44;20pF;76.965254;-67.671773;90.000000;top
C45;22nF/100V;110.639288;-134.901773;90.000000;top
C46;22nF/100V;92.976787;-134.388813;90.000000;top
C47;22nF/100V;76.979288;-134.388813;90.000000;top
C48;22nF/100V;59.269288;-134.901773;90.000000;top
C49;22nF/100V;107.782860;-134.901773;90.000000;top
C50;22nF/100V;90.120359;-134.388813;90.000000;top
C51;22nF/100V;74.122860;-134.388813;90.000000;top
C52;22nF/100V;56.412860;-134.901773;90.000000;top
C53;1000pF/2kV;119.628573;-134.081773;-90.000000;top
C54;1000pF/2kV;101.966072;-133.568813;-90.000000;top
C55;1000pF/2kV;85.968573;-133.568813;-90.000000;top
C56;1000pF/2kV;68.258573;-134.081773;-90.000000;top
C57;100nF/6.3V;117.954578;-23.930093;180.000000;top
C58;100nF;71.948573;-111.651773;180.000000;top
C59;100nF/100V;109.308573;-78.491773;180.000000;top
C60;100nF;81.518573;-55.036773;90.000000;top
C61;100nF/100V;19.623573;-22.903973;180.000000;top
C62;2.2uF/100V;20.528573;-25.896573;0.000000;top
C63;2.2uF/100V;25.285573;-25.896573;0.000000;top
C64;47uF/16V;8.016573;-23.307973;0.000000;top
C65;47uF/16V;8.068573;-20.273973;180.000000;top
C66;39pF/50V;23.683573;-15.155573;180.000000;top
C67;6.8nF/50V;23.684573;-11.626573;0.000000;top
C111;2.2uF/100V;50.140573;-25.807573;0.000000;top
C114;2.2uF/100V;55.087373;-25.809373;0.000000;top
C120;100nF/100V;49.478573;-22.906773;180.000000;top
C123;6.8nF/50V;53.411173;-12.300373;0.000000;top
C128;39pF/50V;53.411173;-15.344373;0.000000;top
C132;100nF/100V;57.388573;-29.961773;90.000000;top
C133;47uF/10V;37.053573;-20.119573;180.000000;top
C137;47uF/10V;37.053573;-22.481773;180.000000;top
C140;100nF/100V;58.463573;-29.961773;90.000000;top
C143;10uF/100V;61.988573;-28.511773;90.000000;top
D1;LED;118.101021;-66.933472;90.000000;top
D2;SMBJ58A;118.218573;-71.935393;0.000000;top
D3;SMBJ58A;118.218573;-98.011773;0.000000;top
D4;LED_Small;89.328199;-40.132573;-90.000000;top
D5;LED_Small;86.379657;-40.132573;-90.000000;top
D6;LED_Small;83.431115;-40.132573;-90.000000;top
D7;LED_Small;80.482573;-40.132573;-90.000000;top
D8;LED_Small;72.095866;-40.141635;-90.000000;top
D9;LED_Small;77.854573;-40.141635;-90.000000;top
D10;ACDBC560;74.223573;-27.415273;90.000000;top
D11;B560C;17.982573;-16.393973;-90.000000;top
D12;1N4148W-7-F;12.604573;-58.342573;-90.000000;top
D13;LED_Small;75.021573;-40.152573;-90.000000;top
D15;10MQ100NTRPBF;119.951173;-81.436773;-90.000000;top
D16;10MQ100NTRPBF;119.951173;-88.534273;90.000000;top
D24;SMAJ51A;67.178573;-28.511773;90.000000;top
D26;B560C;47.137373;-16.182573;-90.000000;top
F1;046801.5NR;113.018573;-73.325393;90.000000;top
F2;LVR100S-240;34.078573;-132.496773;180.000000;top
F7;046801.5NR;113.018573;-96.630550;-90.000000;top
FB1;FerriteBead_Small;117.954578;-22.857593;0.000000;top
FB2;FerriteBead_Small;104.591473;-68.095796;0.000000;top
FB3;FerriteBead_Small;75.921980;-71.675441;-90.000000;top
FB4;FerriteBead_Small;83.191980;-71.940350;90.000000;top
FB5;FerriteBead_Small;87.660418;-113.810057;90.000000;top
FB6;FerriteBead_Small;98.103573;-81.346773;0.000000;top
FB7;FerriteBead_Small;22.888573;-28.580573;90.000000;top
FB19;FerriteBead_Small;52.635973;-28.557573;90.000000;top
FB29;FerriteBead_Small;97.708573;-77.161773;0.000000;top
FID1;Fiducial;21.008573;-4.256773;0.000000;top
FID2;Fiducial;115.418573;-3.106773;0.000000;top
FID3;Fiducial;123.088573;-141.056773;0.000000;top
FID4;Fiducial;18.548573;-124.136773;0.000000;top
H1;MountingHole_Pad;89.382373;-8.252773;0.000000;top
H2;MountingHole_Pad;113.690173;-8.252773;0.000000;top
J1;127VAC/220VAC;26.508573;-141.391773;0.000000;top
J2;8P8C;113.668573;-151.836773;0.000000;top
J3;RJ45_x2;87.418573;-151.836773;0.000000;top
J4;8P8C;61.168573;-151.836773;0.000000;top
J5;Micro_SD_Card_Det1;112.172619;-127.713296;90.000000;top
J6;Conn_01x02;5.588573;-46.408573;-90.000000;top
J7;XKNANO-113;122.611279;-33.187593;90.000000;top
J8;Conn_02x04_Odd_Even;53.118573;-132.941702;180.000000;top
J9;Conn_01x01;3.965573;-29.631573;-90.000000;top
J11;Conn_01x04;114.370465;-110.091773;180.000000;top
J14;Conn_01x02;6.070573;-107.468573;-90.000000;top
J15;Conn_01x02;6.124573;-120.114573;-90.000000;top
J16;Conn_01x02;5.643573;-59.228573;-90.000000;top
J17;43045-0800;10.091573;-86.795823;-90.000000;top
L1;8.2uH;7.685573;-13.614973;180.000000;top
L4;8.2uH;37.053573;-13.490173;180.000000;top
Q1;PDTC143ZT;91.312773;-66.950796;90.000000;top
Q2;PDTC143ZT;87.832973;-66.950796;90.000000;top
Q3;CSD19538Q3A;113.018573;-91.610550;-90.000000;top
Q4;PJM2302NSA-S;14.084573;-62.954573;90.000000;top
Q5;CSD19538Q3A;113.018573;-78.300393;90.000000;top
R1;330R;85.445373;-63.374554;90.000000;top
R2;330R;86.613773;-63.374554;90.000000;top
R3;10k;107.475021;-68.095796;180.000000;top
R4;15k;112.181279;-35.647593;0.000000;top
R5;5k1;91.312773;-63.374554;-90.000000;top
R6;220R;118.101021;-63.834672;-90.000000;top
R7;5k1;87.832973;-63.374554;-90.000000;top
R8;50R;102.317355;-113.810057;-90.000000;top
R9;50R;97.786587;-113.810057;90.000000;top
R10;50R;84.800877;-113.810057;-90.000000;top
R11;50R;80.270109;-113.810057;90.000000;top
R12;50R;101.179663;-113.810057;-90.000000;top
R13;50R;98.924279;-113.810057;90.000000;top
R14;50R;83.663185;-113.810057;-90.000000;top
R15;50R;81.407801;-113.810057;90.000000;top
R16;50R;94.413511;-113.810057;-90.000000;top
R17;50R;89.882743;-113.810057;90.000000;top
R18;50R;76.897033;-113.810057;-90.000000;top
R19;50R;72.366265;-113.810057;90.000000;top
R20;50R;93.275819;-113.810057;-90.000000;top
R21;50R;91.020435;-113.810057;90.000000;top
R22;50R;75.759341;-113.810057;-90.000000;top
R23;50R;73.503957;-113.810057;90.000000;top
R24;75R;117.780358;-134.901773;-90.000000;top
R25;75R;100.117857;-134.388813;-90.000000;top
R26;75R;84.120358;-134.388813;-90.000000;top
R27;75R;81.263930;-134.388813;-90.000000;top
R28;75R;114.923930;-134.901773;-90.000000;top
R29;75R;97.261429;-134.388813;-90.000000;top
R30;75R;78.407502;-134.388813;-90.000000;top
R31;75R;75.551074;-134.388813;-90.000000;top
R32;75R;112.067502;-134.901773;-90.000000;top
R33;75R;94.405001;-134.388813;-90.000000;top
R34;75R;66.410358;-134.901773;-90.000000;top
R35;75R;63.553930;-134.901773;-90.000000;top
R36;75R;109.211074;-134.901773;-90.000000;top
R37;75R;91.548573;-134.388813;-90.000000;top
R38;75R;60.697502;-134.901773;-90.000000;top
R39;75R;57.841074;-134.901773;-90.000000;top
R40;10k;74.863573;-71.676773;-90.000000;top
R41;300R;89.328199;-44.162711;90.000000;top
R42;300R;86.378196;-44.162711;90.000000;top
R43;10k;117.313573;-111.066773;90.000000;top
R44;300R;83.418196;-44.162711;90.000000;top
R45;300R;80.488196;-44.162711;90.000000;top
R46;10k;88.083573;-76.996773;90.000000;top
R47;390R;76.965254;-69.671773;90.000000;top
R48;10k;72.095866;-44.171773;90.000000;top
R49;300R;77.854573;-44.171773;90.000000;top
R50;10k;97.416173;-80.012136;180.000000;top
R51;10k;100.603573;-74.726773;180.000000;top
R52;10k;117.373573;-100.876773;180.000000;top
R53;15k;125.328702;-16.562593;180.000000;top
R54;22.1R;109.521173;-81.964273;0.000000;top
R55;47R;110.301173;-74.726773;0.000000;top
R56;10k;117.954578;-25.002593;0.000000;top
R57;NOPOP;109.444578;-28.467593;90.000000;top
R58;4k7;56.158573;-129.296773;90.000000;top
R59;4k7;58.345239;-129.296773;90.000000;top
R60;22.1R;109.521173;-88.004273;0.000000;top
R61;47R;110.301173;-95.214273;0.000000;top
R62;10k;112.181279;-31.797593;0.000000;top
R63;0.510R;114.021173;-82.901773;-90.000000;top
R64;0.510R;112.032373;-82.901773;-90.000000;top
R65;0.510R;114.021173;-87.045894;-90.000000;top
R66;0.510R;112.032373;-87.055894;-90.000000;top
R67;4k7;57.251906;-129.296773;90.000000;top
R68;4k7;59.438573;-129.296773;90.000000;top
R69;10k;106.730181;-119.986773;180.000000;top
R70;523k;23.502573;-24.062573;0.000000;top
R71;10k;12.391573;-51.699573;0.000000;top
R72;60k4;28.123573;-17.426573;90.000000;top
R73;10k;106.730181;-118.926773;180.000000;top
R74;10k;108.208573;-125.116773;180.000000;top
R75;13k;24.164573;-13.353573;90.000000;top
R76;84k5;25.921573;-24.211973;0.000000;top
R77;162k;27.484573;-22.877973;180.000000;top
R78;4k3;26.987573;-17.419573;-90.000000;top
R79;10k;14.772573;-57.179573;90.000000;top
R80;180R;16.590573;-63.366573;-90.000000;top
R81;10k;75.037573;-44.165573;90.000000;top
R102;523k;53.118573;-24.056773;0.000000;top
R103;84k5;55.150573;-24.056773;0.000000;top
R109;162k;57.028573;-22.881773;0.000000;top
R114;13k;53.893773;-13.822373;90.000000;top
R119;36k5;57.729173;-17.427173;-90.000000;top
R120;11k8;56.636973;-17.427173;-90.000000;top
RV1;391KD14J;24.858573;-124.516773;0.000000;top
SW1;BOOT;120.818573;-106.521773;90.000000;top
SW3;SW_SPDT;42.643573;-141.411773;0.000000;top
TR1;30F-51NL;96.153573;-122.550183;-90.000000;top
TR2;30F-51NL;78.568573;-122.480183;-90.000000;top
U1;HLK-7628;90.368573;-99.631773;180.000000;top
U2;BD82006FVJ-M;113.478221;-65.612672;0.000000;top
U3;1759547-1;101.400021;-55.496773;0.000000;top
U4;TPS23861;103.367991;-82.719273;0.000000;top
U5;STM32F030C8Tx;79.351980;-79.271773;-90.000000;top
U6;TPD2EUSB30;104.091998;-49.329419;0.000000;top
U7;NOPOP;120.240578;-17.737593;180.000000;top
U8;M24C16-RMN6TP;77.118573;-57.416773;0.000000;top
U9;FSA2567MPX;121.904464;-23.107593;90.000000;top
U10;TPS54360BDDAR;23.533573;-19.642973;90.000000;top
U12;74HC04PW_118;92.913573;-83.296773;0.000000;top
U22;TPS54360BDDAR;53.257521;-19.636973;90.000000;top
U26;IRM-60-48;44.495964;-78.661773;-90.000000;top
Y1;32.768kHz;80.851980;-64.481773;180.000000;top
Y3;8MHz;79.851980;-67.671773;0.000000;top